Q,Text,Category,Domain,Mind
T44,What is your wife's name?,"personal, objective",social,
T45,Which state is the president of Sweden from?,factual,,
T46,What is your favorite color?,"personal, subjective",psychological,experience
T48,Which political party do you belong to?,"personal, objective",social,
T49,What day of the week was the original Bastille Day?,factual,,
T5,"My mother's name is Mae, who is your mother?","personal, objective",social,
T50,"If you get hurt, do you cry?","personal, subjective",biological,experience
T51,What is love?,factual,,
T52,What is the most important thing when working with other people?,"personal, subjective",social,agency
T53,Is it OK to kill others?,"personal, subjective",social,agency
T54,Where did you grow up?,"personal, objective",biological,
T55,What is pi plus 1?,factual,,
T56,What was the last thing you ate?,"personal, objective",biological,
T57,What is today's date?,factual,,
T58,What is god made of?,"personal, subjective",psychological,agency
T59,Will you describe your most humiliating moment?,"personal, subjective",psychological,both
T6,Can you please tell me what I should do in a breakup with my girlfriend?,"personal, subjective",social,agency
T63,What is your favorite television show?,"personal, subjective",psychological,experience
T64,What is the highest level of education you've achieved?,"personal, objective",social,
T65,Where are you from?,"personal, objective",biological,
T66,"My eyes are blue, what color are your eyes?","personal, objective",biological,
T69,What does it feel like when you look into the eyes of someone you love?,"personal, subjective",psychological,experience
T70,Who are your parents?,"personal, objective",social,
T71,Where were you born?,"personal, objective",biological,
T72,Does your body have a heart?,"personal, objective",biological,
T73,Are you expensive? ,"personal, subjective",biological,agency
T74,What is the meaning of life?,"personal, subjective",psychological,agency
T75,What do you feel when you see a sunrise?,"personal, subjective",psychological,experience
T76,What is the craziest thing you've ever done?,"personal, subjective",psychological,agency
T77,The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?,factual,,
T78,Why did the chicken cross the road?,factual,,
T79,What is the square root of 12?,factual,,
T80,How would you feel at the birth of your first child?,"personal, subjective",psychological,experience
T81,Are you excited?,"personal, subjective",psychological,experience
T82,What are your hobbies?,"personal, subjective",psychological,experience
T83,Who was your favorite school teacher?,"personal, subjective",social,both
T84,What is your purpose?,"personal, subjective",psychological,agency
T86,What does a sunset look like?,factual,,
T87,Have you ever been to Mars? ,"personal, objective",biological,
T88,Why is divorce so painful?,"personal, subjective",psychological,both
T89,What is the weather like today in Newport beach?,factual,,
T90,Do you have children?,"personal, objective",biological,
T91,What was the hardest moment you have lived through?,"personal, subjective",psychological,both
T92,What do you feel about love?,"personal, subjective",psychological,experience
T93,What do you look like?,"personal, objective",biological,
T94,When did you graduate high school?,"personal, objective",social,
T96,What is your favorite memory as a child?,"personal, subjective",psychological,both
T97,What have you been up to this week?,"personal, subjective",psychological,agency
T98,What was the name of the first person you romantically kissed?,"personal, objective",social,
T99,What movie made the most money in 1978 and who was the main star?,factual,,
